sku,price,product_name,product_name_ar
3,188.0,CONTROLOC 40 MG 14 TAB,كونترولوك 40 مجم 14 قرص
7,87.0,ALPHINTERN 30 TAB,الفينترن 30 قرص
8,210.0,AUGMENTIN 1 G 14 TAB,اوجمنتين 1 جم 14 قرص
10,54.0,PANADOL EXTRA 24 TAB,بانادول اكسترا 24 قرص
11,338.0,INSULIN MIXTARD 30 HM 100 I.U./ML 5 * 3 ML PENFILL,انسولين ميكستارد 30 اتش ام 100 وحدة دولية/مل 5 خرطوش 3 مل
13,43.0,CEFOTAX 1 GM I.M./I.V VIAL,سيفوتاكس 1 جم فيال عضل او وريد ايبيكو
15,150.0,FEROGLOBIN 30 CAP,فيروجلوبين 30 كبسول
16,173.0,HIBIOTIC 1 G 16 TAB,هاى بيوتك 1 جم 16 قرص
19,674.0,JANUMET 50/1000 MG 56 TAB,جانوميت 50/1000 مجم 56 قرص
21,130.0,INSULIN MIXTARD 30 HM 100 I.U./ML VIAL 10 ML,انسولين ميكستارد 100وحدة دولية/مل فيال 10 مل
28,81.0,BI-ALCOFAN 150 MG 30 TAB,باي-الكوفان 150 مجم 30 قرص
30,86.0,CATAFLAM 50 MG 20 TAB,كتافلام 50 مجم 20 قرص
33,740.0,CEREBROLYSIN 215.2 MG/ML I.M./I.V. AMP 5 * 5 ML,سريبروليسين 215.2 مجم / مل 5 امبول عضل أو وريد 5 مل
34,135.0,OMEGA-3 PLUS 30 CAP,اوميجا-3 بلس 30 كبسولة
35,238.0,GALVUS MET 1000 MG/50 TAB,جالفس ميت 50/1000 مجم 30 قرص
36,114.0,CONVENTIN 300 MG 30 CAP,كونفنتين 300 مجم 30 كبسولة
37,124.0,GYNERA 21 TAB,جينيرا 21 قرص
41,95.0,CEFTRIAXONE-SANDOZ 1 GM I.M. VIAL,سيفترياكسون - ساندوز 1 جم فيال عضل
45,102.0,NEUROVIT 30 TAB,نيوروفيت 30 قرص
46,72.0,CATAFAST 50 MG 9 SACHETS,كتافاست 50 مجم 9 كيس
50,50.0,CONGESTAL 20 TAB,كونجيستال 20 قرص
53,86.0,XITHRONE 500 MG 5 TAB,زيثرون 500 مجم 5 قرص
58,36.0,DEXAMETHASONE-AMRIYA 8 MG/2 ML 3 AMP.,ديكساميثازون-العامرية 8 مجم / 2 مل 3 امبول
59,122.0,INSULINAGYPT 70/30 100 I.U./ML VIAL 10 ML,انسوليناجيبت 70/30 فيال 10 مل
65,83.0,BIVATRACIN SPRAY 150 ML,بيفاتراسين سبراى 150جم
66,190.0,DAFLON 500 MG 30 TAB,دافلون 500 مجم 30 قرص
70,175.0,VASTAREL MR 35 MG 30 TAB,فاستاريل ام ار 35 مجم 30 قرص
72,93.0,ANTODINE 40 MG 30 TAB,انتودين 40 مجم 30 قرص
74,320.0,SYSTANE ULTRA EYE DROP 10 ML,سيستان الترا قطرة عين 10 مل
75,63.0,LIVABION I.M. AMP. 6 * 2 ML,ليفابيون 2 مللى 6 امبول
1006,52.0,PROXIMOL COMPOUND GRANULES 60 GM,بروكسيمول مركب فوار 60 جم
1008,275.0,DOXIUM 500 MG 30 CAP,دوكسيوم 500 مجم 30 كبسول
78,196.0,EPOETIN -SEDICO 4000 I.U./ML VIAL.,ايبوتين - سيديكو 4000 وحدة دولية فيال
81,550.0,TRESIBA FLEXTOUCH 100 I.U./ ML PRE-FILLED PEN,تريسيبا فليكس تاتش 100 وحدة دولية قلم جاهز
1014,90.0,KAPRON 500 MG/5 ML I.V 6 AMP.,كابرون 500 مجم / 5 مل 6 امبول
S13806,60.0,Essie Nail Polish 610,إيسي طلاء أظافر 610
1016,32.0,LORNOXICAM 8 MG/ 2 ML I.M./I.V. VIAL,لورنوكسيكام 8مجم/2مل فيال عضل أو وريد
87,153.0,DOROFEN 30 CAP,دوروفين 30 كبسولة
1018,19.0,SPASMOREST 20 MG 20 TAB,سبازمورست 20 مجم 20 قرص
94,24.0,FAWAR FRUIT 6 SACHET,فوار فروت 6 كيس
1024,165.0,PRIMROSE PLUS 30 CAP,برايم روز بلس 30 كبسول
1028,38.0,NORGESIC 20 TAB,نورجيسيك 20 قرص
99,178.0,MEGAMOX 1 G 14 TAB,ميجاموكس 1 جم 14 قرص
1029,80.0,L-CARNITINE 1 GM/5 ML I.V. 5 AMP.,ال-كارنيتين 1 جرام 5 امبولة
101,31.0,OPLEX-N SYRUP 125 ML,اوبلكس- ان شراب 125 مل
108,130.0,CLAVIMOX 1 G 12 TAB,كلافيموكس 1 جم 12 قرص
110,300.0,BEBELAC 1 MILK 400 GM,بيبيلاك 1 لبن 400 جم
114,150.0,OSTEOCARE 30 TAB,اوستيوكير 30 قرص
1049,34.0,XILONE 5 MG/5ML SYRUP 100 ML,زيلون 5مجم/5مل شراب 100 مل
122,150.0,MILGA ADVANCE 30 TAB,ميلجا ادفانس 30 قرص
123,51.0,VOLTAREN 75 MG/3 ML I.M./I.V. 3 AMP.,فولتارين 75 مجم/3مل 3 امبولات للحقن العضلي او التسريب الوريدي
124,21.5,KENACOMB CREAM 15 GM,كيناكومب كريم 15 جم
1056,300.0,NAN 2 MILK 400 GM,نان 2 لبن 400 جم
125,752.0,PULMICORT 0.5 MG/ ML 20 NEBULIZER VIAL,بالميكورت 0.5 مجم/ مل 20 امبول للاستنشاق
1057,65.5,WINCEF 1 GM I.M / I.V VIAL,وينسيف 1 جم فيال عضل أو وريد 5 مل
126,75.0,GLUCOPHAGE XR 1000 MG 30 TAB,جلوكوفاج اكس آر 1000 مجم 30 قرص
128,71.0,FLUMOX 500 MG 16 CAP,فلوموكس 500 مجم 16 كبسول
1063,17.5,GAST-REG 24 MG/5 ML SUSP. 125 ML,جاست ريج 24مجم/5مل شراب معلق 125 مل
133,90.0,SOLUPRED 20 MG 20 ORO-DISPERSIBLE TAB,سولوبريد اورو 20 مجم 20 قرص قابل للذوبان بالفم
134,44.0,BRUFEN 100 MG/5ML SYRUP 150 ML,بروفين 100مجم/5مل شراب 150 مل
137,57.0,MAXILASE SYRUP 100 ML,ماكسيلاز شراب 100 مل
140,60.0,CONCOR COR 2.50 MG 30 TAB,كونكور كور 2.5 مجم 30 قرص
1073,60.0,PRIMPERAN 10 MG/2 ML 12 AMP.,بريمبران 10 مجم / 2 مل 12 امبول
1077,224.0,ARCOXIA 60 MG 14 TAB,اركوكسيا 60 مجم 14 قرص
147,99.0,FERROTRON 30 CAP,فيروترون 30 كبسول
148,72.0,ROWATINEX 45 CAP,رواتينكس 45 كبسولة
1080,255.0,BUDELIZER 400 MCG 60 INHALE CAP,بوديلايزر 400 مكجم 60 كبسولة استنشاق
151,35.0,C-RETARD 500 MG 10 CAP,سي ريتارد 500 مجم 10 كبسول
152,60.0,KETOLAC 30 MG/2 ML 5 AMP.,كيتولاك 30 مجم / 2 مل 5 امبول
153,44.0,RAMETAX 1 GM I.V/I.M VIAL,راميتاكس 1 جم فيال
155,31.0,URIVIN 10 SACHETS,يوريفين فوار 10 كيس
157,240.0,ORLY 120 MG 30 CAP,اورلي 120 مجم 30 كبسول
1088,122.5,AZARGA EYE DROP 5 ML,ازارجا قطرة عين 5 مل
158,70.0,ACETYLCISTEIN 600 MG 10 SACHET,استيل سستايين 600 مجم فوار 10 كيس
159,58.0,REPARIL- N GEL 40 GM,ريباريل ان جيل 40 جم
160,69.0,BRONCHICUM ELIXIR 100 ML,برونشيكم اليكسر شراب 100 مل
161,71.0,ZISROCIN 500 MG 3 CAP,زيثروسين 500 مجم 3 كبسولة
162,100.0,ZYRTEC 10 MG 20 TAB,زيرتيك 10 مجم 20 قرص
164,24.0,OTRIVIN ADULT NASAL DROPS 15 ML,اوتريفين 0.1 % نقط انف للكبار 15 مل
1095,56.0,FUCIDIN 2% OINTMENT 15 GM,فيوسيدين 2 % مرهم 15 جم
165,84.0,GAST-REG 200 MG 30 TAB,جاست-ريج 200 مجم 30 قرص
166,76.0,PANADOL COLD&FLU DAY 24 TAB,بانادول كولد آند فلو داي 24 قرص
167,231.0,AVEROZOLID 600 MG 10 TAB,افيروزوليد 600 مجم 10 قرص
1098,35.0,MEGAFEN-N 100 MG/5 ML SUSP. 120 ML,ميجافين ان شراب معلق 120 مل
169,34.0,ALL-VENT SYRUP 125 ML,اولفنت شراب 125 ملل
170,63.0,XITHRONE 500 MG 3 TAB,زيثرون 500 مجم 3 اقراص
172,50.0,COLD FREE 20 TAB,كولد فري 20 قرص
173,46.0,TRIACTIN TABS 4 MG 20,تراياكتين 20 قرص
1104,23.0,MOOV CREAM 40 GM,موف كريم مساج 40 جم
1105,89.0,PROZAC 20 MG 14 CAP,بروزاك 20 مجم 14 كبسولة
175,69.0,COLONA 30 TAB,كولونا 30 قرص
179,91.5,SILDAVA 100 MG 12 TAB,سيلدافا 100 مجم 12 قرص
1110,42.0,DICYNONE 250 MG/2 ML 3 AMP.,دايسينون 250 مجم / 2 مل 3 امبول
1111,65.0,FEROGLOBIN SYRUP 120 ML,فيروجلوبين شراب 120 مل
181,144.0,DEPAKINE CHRONO LA 500 MG 30 TAB,ديباكين كرونو 500 مجم 30 قرص
1114,61.0,VIRUSTAT 200 MG/5 ML SUSP. 120 ML,فيروستات 200 مجم / 5 مل شراب معلق 120 مل
184,48.0,DOLIPRANE 1000 MG 15 TAB,دوليبران 1000 مجم 15 قرص
1117,96.0,E MOXCLAV 1 G 10 TAB,ايموكسكلاف 1 جم 10 قرص
187,160.0,PHARA FERRO 27 20 TAB,فرافيرو 27 20 كبسول
190,27.0,UNICTAM 750 MG I.M/I.V. VIAL,يونيكتام 750 مجم فيال
1122,850.0,SCARO GEL 50 GM,سكارو جيل 50 جم
192,52.0,TOBRADEX EYE DROPS 5 ML,توبراديكس قطرة عين 5 مل
1124,543.0,MINIRIN MELT 120 MCG 30 SUBLINGUAL TAB.,مينيرين ميلت 120 مكجم 30 قرص تحت اللسان
