sku,marketplace_item_name_ar,marketplace_item_name_en,seller_item_name
1323,موبيتيل 15 مجم 10 قرص,MOBITIL 15 MG 10 TAB,MOBITIL 15 MG 10 TAB
48,امبيزيم-جى 30 قرص,AMBEZIM-G 30 TAB,امبيزيم جى قرص س ج54ج
1316,ايراستابكس 40 مجم 30 قرص,ERASTAPEX 40 MG 30 TAB,ايراستابكس 40 اقراص
692,دولفين 12.5 مجم 10 أقماع,DOLPHIN 12.5 MG 10 SUPP.,دولفين 12.5 مجم س جديد 36ج
137,ماكسيلاز شراب 100 مل,MAXILASE SYRUP 100 ML,ماكسيلاز شراب سعر جديد=
1505,تريتاس كومب 5/25مجم 14 قرص,TRITACE COMP 5/25 MG 14 TAB,تريتاس كومب2شريط اقراص
1017,نورمو تيرز قطرة عين 15 مل,NORMO-TEARS EYE DROPS 15 ML,نورموتيرز قطره*ج/2202505
2258,الفيولين-بى شراب 100 مل,ALVEOLIN-P SYRUP 100 ML,الفيولين (بى ) شراب
1615,ليفوهيستام 5مجم/10مل شراب 120 مل,LEVOHISTAM 2.5 MG/5MLS YRUP 120 ML,ليفوهيستام شراب 120 مل
372,بيتاسيرك 16 مجم 60 قرص,BETASERC 16 MG 60 TAB,بيتاسيرك 16 مجم3 شريط ق
1452,ال-كارنيتين بلس 20 قرص,L-CARNITINE PLUS 20 TAB,ال كارنتين بلس سعر جديد
2488,جاتيستار 0.5 % قطرة عين 5 مل,GATISTAR 0.5% EYE DROPS 5 ML,جاتيستار قطره س ج
744,كيتولاك 10 مجم 20 قرص,KETOLAC 10 MG 20 TAB,كيتولاك 20 قرص
146,اليكويس 5 مجم 20 قرص,ELIQUIS 5 MG 20 TAB,اليكوس 5 ملى اقراص
2006,التيازيم 60 مجم 40 قرص,ALTIAZEM 60 MG 40 TAB,التيازيم اقراص س ج
10,بانادول اكسترا 24 قرص,PANADOL EXTRA 24 TAB,بانادول اكسترا-24 قرص
146,اليكويس 5 مجم 20 قرص,ELIQUIS 5 MG 20 TAB,اليكويس 5 مجم س ج
1073,بريمبران 10 مجم / 2 مل 12 امبول,PRIMPERAN 10 MG/2 ML 12 AMP.,بريمبران 12امبول جديد
1279,سايميدل شراب مستحلب 120 مل,SIMEDILL EMULSION 120 ML,سايميدل ش جديد 24.5ج
1999,ايتوماش 50 مجم 30 قرص,ITOMASH 50 MG 30 TAB,ايتو ماش
1305,لوفير 400 مجم 10 قرص,LOVIR 400 MG 10 TAB,لوفير 400 مج اقراص/رانبكسى
