sku,price,product_name,product_name_ar
3,188,CONTROLOC 40 MG 14 TAB,ﬂÊ‰ —Ê·Êﬂ 40 „Ã„ 14 ﬁ—’
7,87,ALPHINTERN 30 TAB,«·›Ì‰ —‰ 30 ﬁ—’
8,210,AUGMENTIN 1 G 14 TAB,«ÊÃ„‰ Ì‰ 1 Ã„ 14 ﬁ—’
10,54,PANADOL EXTRA 24 TAB,»«‰«œÊ· «ﬂ” —« 24 ﬁ—’
11,338,INSULIN MIXTARD 30 HM 100 I.U./ML 5 * 3 ML PENFILL,«‰”Ê·Ì‰ „Ìﬂ” «—œ 30 « ‘ «„ 100 ÊÕœ… œÊ·Ì…/„· 5 Œ—ÿÊ‘ 3 „·
13,43,CEFOTAX 1 GM I.M./I.V VIAL,”Ì›Ê «ﬂ” 1 Ã„ ›Ì«· ⁄÷· «Ê Ê—Ìœ «Ì»ÌﬂÊ
15,150,FEROGLOBIN 30 CAP,›Ì—ÊÃ·Ê»Ì‰ 30 ﬂ»”Ê·
16,173,HIBIOTIC 1 G 16 TAB,Â«Ï »ÌÊ ﬂ 1 Ã„ 16 ﬁ—’
19,674,JANUMET 50/1000 MG 56 TAB,Ã«‰Ê„Ì  50/1000 „Ã„ 56 ﬁ—’
21,130,INSULIN MIXTARD 30 HM 100 I.U./ML VIAL 10 ML,«‰”Ê·Ì‰ „Ìﬂ” «—œ 100ÊÕœ… œÊ·Ì…/„· ›Ì«· 10 „·
28,81,BI-ALCOFAN 150 MG 30 TAB,»«Ì-«·ﬂÊ›«‰ 150 „Ã„ 30 ﬁ—’
30,86,CATAFLAM 50 MG 20 TAB,ﬂ «›·«„ 50 „Ã„ 20 ﬁ—’
33,740,CEREBROLYSIN 215.2 MG/ML I.M./I.V. AMP 5 * 5 ML,”—Ì»—Ê·Ì”Ì‰ 215.2 „Ã„ / „· 5 «„»Ê· ⁄÷· √Ê Ê—Ìœ 5 „·
34,135,OMEGA-3 PLUS 30 CAP,«Ê„ÌÃ«-3 »·” 30 ﬂ»”Ê·…
35,238,GALVUS MET 1000 MG/50 TAB,Ã«·›” „Ì  50/1000 „Ã„ 30 ﬁ—’
36,114,CONVENTIN 300 MG 30 CAP,ﬂÊ‰›‰ Ì‰ 300 „Ã„ 30 ﬂ»”Ê·…
37,124,GYNERA 21 TAB,ÃÌ‰Ì—« 21 ﬁ—’
41,95,CEFTRIAXONE-SANDOZ 1 GM I.M. VIAL,”Ì› —Ì«ﬂ”Ê‰ - ”«‰œÊ“ 1 Ã„ ›Ì«· ⁄÷·
45,102,NEUROVIT 30 TAB,‰ÌÊ—Ê›Ì  30 ﬁ—’
46,72,CATAFAST 50 MG 9 SACHETS,ﬂ «›«”  50 „Ã„ 9 ﬂÌ”
50,50,CONGESTAL 20 TAB,ﬂÊ‰ÃÌ” «· 20 ﬁ—’
53,86,XITHRONE 500 MG 5 TAB,“ÌÀ—Ê‰ 500 „Ã„ 5 ﬁ—’
