"sku","price","product_name_ar","product_name","is_pareto"
2417,69.00,رانسيف 500 مجم 10 قرص,RANCIF 500 MG 10 F.C TAB
2441,40.00,دوجماتيل فورت 200 مجم 10قرص,DOGMATIL FORT 200 MG 10 CAP
2443,245.00,مياكلسيك 100 وحدة 5 امبول ثلاجة,MIACALCIC 100 I.U/ML I.M./I.V./S.C 5 AMP.
3390,144.00,كلاريميكس 500 مجم 14 قرص,KLARIMIX 500 MG 14 TAB
2463,132.00,كيبرون اس ار 300 مجم 100 قرص, QUIBRON T/SR 300MG 100 TAB
3395,69.00,جوفلكس 500 مجم 30 كبسول,JOFLEX 500MG 30 CAP
2469,20.00,رجكور 5 مجم 10 اقراص,REGCOR 5 MG 10 TAB
3402,62.00,ميكروسيرك 24 مجم 20 قرص,MICROSERC 24 MG 20 TAB
3410,22.00,جليسرين-جلاكسو- للكبار 10 اقماع,GLYCERIN ADULT -GLAXO- 10 SUPP	
2493,28.00,بنتال اس ار 400 مجم 20 قرص,PENTAL 400 MG 20 S.R. TAB
2494,17.50,ميدرابيد 0.5% قطرة للعين 10 مل,MYDRAPID 0.5% EYE DROPS 10 ML	
2497,44.00,فيوسيديل 15 مجم كريم,FUCIDEL 2%CREAM 15 GM
2506,24.00,ريمواكس 5% نقط اذن 15 مل,REMOWAX 5 % EAR DROPS 15 ML	
2525,390.00,بيبى ناديف سى ووتر 50 مل,BABY NADIF NASAL SPRAY 50 ML
3494,20.50,فايزين ايه سى قطره للعين 15 مل,VISINE A.C EYE DROPS 15 ML
2605,60.00,جانتوليف 50 مجم 30 قرص,GANTOLIEF 50 MG 30 TAB
2608,470.00,كوزموفير 50 مجم/مل 5 امبولات,COSMOFER 50 MG/ML 5 AMP
2627,62.00,ستيميولان 200مجم/مل 120 مل,STIMULAN 200MG/ML SYRUP 120 ML
2635,130.00,بيرفكت كير محلول عدسات 120 مل,PERFECT CARE SOLUTION 120 ML	
2637,32.00,بيليكول 24 كبسول,BILICHOL 24 CAP
2638,67.00,اوجرام 457 مجم/5مل شراب معلق 60 مل,AUGRAM 457 MG/5ML SUSP. 60 ML	
3708,32.00,لوهيدران محلول جفاف 10 اكياس,LOHYDRAN 10 PACKETS
3762,187.00,سيريتايد ديسكس50 /100 ميكروجم 60 جرعة,SERETIDE DISKUS 100 / 50 MCG 60 DOSE
3770,12.00,اكتوفنت سار 20قرص,OCTOVENT CR 4 MG 20 TAB
2919,36.00,ميديكسافلام 15 مجم 20 قرص,MEDEXAFLAM 15 MG 20 TAB
3853,29.00,فيكسوليتيك شراب 120 مل,VICKSOLYTIC SYRUP 120 ML	
2928,58.00,كلير اير 4 مجم 14 قرص,CLEAR AIR 4 MG 14 TAB
3886,45.00,جلاريل 4 مجم 30 قرص,GLARYL 4 MG 30 TAB
3888,198.00,كارفالون 50 مجم 20 قرص,CARFALONE 50 MG 20 TAB
4065,16.00,بروتام 10مجم/مل 5 مل فيال,PROTAM 10MG/ML 5ML I.V.VIAL	
5056,13.00,فيكسون 120 مجم 10 قرص,FEXON 120 MG 10 TAB
4248,32.00,جينوزول 200 مجم 6 بويضات مهبلية,GYNOZOL 200 MG 6 VAG. OVULES	
5355,50.00,زالاتريكس 50 مكجم/مل قطرة للعين,XALATREX 50MCG/ML EYE DROPS	
4422,19.00,سالينكس 0.9% نقط انف 20 مل ,SALINEX 0.9% NASAL DROPS 20 ML	
4476,10.50,فاروفين 100 مجم 5 اقماع,PHAROFEN 100 MG 5 RECTAL SUPP.
5411,62.00,الزيبيزيل 5 مجم 14 قرص,ALZEPIZIL 5 MG 14 TAB
4484,50.00,باركيكابون 200 مجم 20 قرص,PARKICAPONE 200 MG 20 TAB
5422,249.00,اورليسمارت 120 مجم 10 كبسول,ORLISMART 120 MG 10 CAP
5423,31.00, ايجي جاستريز 100 مجم/5مل شراب معلق 60 مل,EGYGASTREAZ 100MG/5ML 60 ML SUSP
5432,26.00,تريتيكو 50 مجم 20 قرص,TRITTICO 50 MG 20 TAB
61,602.00,فورسيجا 10 مجم 28 قرص,FORXIGA 10 MG 28 TAB
2455,144.00,ستيديفيوتال 24مجم 40 قرص,STEADYFUTAL 24 MG 40 TAB
2459,144.00,مينوكسيلوك 5% سبراي للشعر 100 مل,MINOXILOOK 5% HAIR SPRAY 100 ML	
4498,52.50,مايوديورا 5 مجم 30 اقراص,MYODURA 5 MG 30 TAB
4559,65.00,هيرو بيبى جود نايت بالقمح واالشوفان 150 جم ,HERO BABY GOOD NIGHT WHEAT &OAT 150G 
4881,19.50,سى فيت نقط 10 جم/100 مل 15 مل,C-VIT  DROPS 10GM/100ML DROPS 15 ML
4927,35.00,نيوستجمين ميثيل سالفات 0.5 مجم/مل 5 امبولات,NEOSTIGMINE METHYL SULPHATE 0.5 MG/ML 5 AMP.
5991,91.00,انفكتوكيور 250 مجم 14 قرص,INFECTOCURE 250 MG 14 TAB
8779,40.00,نيوتريترو دى نقط اطفال 10 مل,NUTRITRU BABYS D DROPS 10 ML
9770,240.00,ناكتاليا 2 لبن للاطفال ٤٠٠ جم,NACTALIA 2 MILK 400 GM
10161,72.00,مافيلور 2.5 مجم 30 قرص,MAVILOR 2.5 MG 30 TAB
10443,303.00,جلابتيفيا 100 مجم 30 قرص,GLAPTIVIA 100 MG 30 TAB
10459,51.00,اميوتركسات 2.5 مجم 10 قرص,IMUTREXATE 2.5 MG 10 TAB
12586,324.00,هيبارين صوديوم سيد 5000 وحدة دولية/مل 6 امبول تحت الجلد,HEPARIN SODIUM-CID 5000 I.U./ML 6 S.C. AMP.
12609,100.00,شان جيل ملطف 60 جم,SHAAN SOOTHING GEL 60 GM
643,54.00,جلوكوفاج 1000 مجم 30 قرص,GLUCOPHAGE 1000 MG 30 TAB
1738,39.00, كو- افازير نقط  للعين 10 مل,CO- AVAZIR EYE SUSP. DROPS 10 ML	
3035,35.00,بيورلان كريم 30 جم,PURELAN CREAM 30 GM	
3182,170.00,منتوبلكس 20 كبسولة ,MENTOPLEX 20 CAP
3286,19.00,مارفيت 14 كبسول,MARVIT 14 CAP
2377,42.00,اولفين 1% جل 50 جم,OLFEN 1% GEL 50 GM	
3318,38.00,بيبى رليف 25 مجم 5 اقماع,BABY RELIEF 25 MG 5 SUPP.
2387,10.25,نيرهامايسين 0.3 % كريم 15 جم,NERHAMICIN 0.3%CREAM 15 GM
2389,86.00,الفاكالسيدول 2مكجم/مل نقط بالفم 10 مل,ALFACALCIDOL 2MCG/ML ORAL DPS. 10 ML	
3321,22.00,فاركولين شراب 120 مل,FARCOLIN SYRUP 120 ML	
2390,16.50,برونكوتيرول شراب 120 مل,BRONCHOTEROL SYRUP 120 ML	
2392,70.00,كيرديبين 10 مجم 20 قرص,CARE DIPINE 10 MG 20 TAB
3325,21.50,فيوسي توب سي كريم 15 جم,FUCI-TOP-C CREAM 15 GM
2394,69.00,سيبروباي 500 مجم 10 قرص,CIPROBAY 500 MG 10 TAB
2418,46.50,افيروزوليد 100 مجم/ 5مل شراب معلق 60 مل,AVEROZOLID 100 MG/5 ML SUSP. 60 ML
3356,32.00,فوترياكسون 0.5 مجم فيال عضل,VOTRIAXONE 500 MG I.M VIAL
84,56.00,اوميز 20 مجم 14 كبسولة,OMEZ 20 MG 14 CAP
1020,70.00, سيردالود 4 مجم 20 قرص ,SIRDALUD 4 MG 20 TAB
1139,102.00,اماجلوست 4/30مجم 30 قرص,AMAGLUST 4/30 MG 30 TAB
2472,60.00,تراي تكت صابون لحب الشباب 100 جم,TRI TECT ACNE SOAP 100 GM
2476,37.00,بيتافيوسين كريم 15 جم,BETAFUCIN CREAM 15 GM	
3357,235.50,ثرومبكس 15مجم/مل 3 امبول,THROMBEXX 15 MGML 3 AMP
2426,70.00,بريمو بلس لوشن 120 مل,PRIMO PLUS LOTION 120 ML	
3358,425.00,تيتانوس 1500 امبول 10 امبولة ثلاجة,TETANUS ANTITOXIN 1500 IU/ML 10 AMP.
3359,120.00,كالسى ماكس بلس 30 قرص,CALCIMAX PLUS 30 FC TAB
